epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.8818,0.75685,3.1553,1.25481,0.79734,0.44104,0.61232,0.45359,0.81914,2.11196,1.31551,0.000173114,0.000173114,0.000173114
2,100.519,0.80348,1.94111,1.27725,0.66135,0.55544,0.63016,0.43402,0.94171,1.68386,1.44859,0.000344998,0.000344998,0.000344998
3,149.186,0.83395,1.7503,1.29506,0.61276,0.50847,0.57414,0.3778,1.04553,1.72984,1.55615,0.00051341,0.00051341,0.00051341
4,197.615,0.8649,1.68094,1.31157,0.53391,0.46284,0.48234,0.30485,1.19898,2.00664,1.81559,0.000510378,0.000510378,0.000510378
5,245.902,0.84104,1.53798,1.29412,0.66064,0.57514,0.62195,0.41767,1.06465,1.64115,1.58101,0.00050517,0.00050517,0.00050517
6,293.953,0.83672,1.44561,1.29274,0.62866,0.58485,0.62161,0.43432,0.97022,1.56404,1.46507,0.000499963,0.000499963,0.000499963
7,342.086,0.8225,1.34646,1.27907,0.70146,0.58835,0.65037,0.44791,1.02347,1.41121,1.54899,0.000494756,0.000494756,0.000494756
8,390.794,0.8019,1.28661,1.26543,0.67586,0.55824,0.61296,0.42846,0.98377,1.59894,1.50001,0.000489548,0.000489548,0.000489548
9,439.163,0.80695,1.2338,1.2617,0.69479,0.64733,0.7029,0.50592,0.92798,1.31215,1.42295,0.000484341,0.000484341,0.000484341
10,487.436,0.77339,1.16385,1.23637,0.71354,0.63059,0.72135,0.51514,0.92206,1.30633,1.41755,0.000479133,0.000479133,0.000479133
11,535.923,0.77038,1.12687,1.24263,0.73243,0.62213,0.68549,0.49768,0.93021,1.32633,1.39616,0.000473926,0.000473926,0.000473926
12,583.851,0.75989,1.09644,1.22957,0.7287,0.63686,0.69517,0.512,0.89205,1.32262,1.39232,0.000468719,0.000468719,0.000468719
13,631.644,0.74056,1.07131,1.22364,0.72884,0.65518,0.72154,0.52857,0.91217,1.23342,1.39369,0.000463511,0.000463511,0.000463511
14,679.906,0.73915,1.03585,1.21535,0.78243,0.66807,0.75493,0.56329,0.85913,1.09325,1.34706,0.000458304,0.000458304,0.000458304
15,728.506,0.74867,1.01586,1.21638,0.7281,0.68856,0.74007,0.54913,0.86282,1.10879,1.35414,0.000453096,0.000453096,0.000453096
16,776.682,0.72571,0.99074,1.20779,0.81342,0.68451,0.77632,0.5842,0.82355,1.07065,1.32818,0.000447889,0.000447889,0.000447889
17,824.869,0.7111,0.9745,1.19856,0.76312,0.67882,0.74595,0.55085,0.87679,1.11413,1.40334,0.000442682,0.000442682,0.000442682
18,873.201,0.7186,0.95894,1.20531,0.76185,0.67913,0.75265,0.56767,0.84119,1.09147,1.34569,0.000437474,0.000437474,0.000437474
19,923.288,0.70815,0.92179,1.17878,0.78407,0.7002,0.78836,0.60714,0.80692,0.94919,1.29337,0.000432267,0.000432267,0.000432267
20,978.224,0.69058,0.91872,1.19208,0.78173,0.69369,0.79126,0.59786,0.81898,0.99176,1.30048,0.000427059,0.000427059,0.000427059
21,1035.37,0.69281,0.9097,1.18058,0.7981,0.69574,0.77942,0.58822,0.81398,0.98932,1.29196,0.000421852,0.000421852,0.000421852
22,1092.08,0.69225,0.86467,1.17818,0.81049,0.6941,0.79234,0.59741,0.81702,0.97258,1.3009,0.000416645,0.000416645,0.000416645
23,1148.07,0.6873,0.87068,1.17573,0.77795,0.7012,0.779,0.58921,0.82183,0.95471,1.3122,0.000411437,0.000411437,0.000411437
24,1203.61,0.68257,0.85558,1.17495,0.7731,0.74259,0.80249,0.619,0.79406,0.88839,1.28698,0.00040623,0.00040623,0.00040623
25,1257.87,0.67333,0.84606,1.16284,0.77745,0.71129,0.78045,0.59561,0.79646,0.94893,1.27953,0.000401022,0.000401022,0.000401022
26,1311.01,0.66257,0.8259,1.16211,0.8122,0.70306,0.80259,0.61651,0.80169,0.90146,1.28075,0.000395815,0.000395815,0.000395815
27,1363.36,0.6623,0.80626,1.16097,0.83082,0.73603,0.81919,0.63437,0.79775,0.86362,1.30604,0.000390608,0.000390608,0.000390608
28,1416.95,0.66324,0.81469,1.15573,0.81885,0.70289,0.79586,0.62403,0.77723,0.90371,1.28249,0.0003854,0.0003854,0.0003854
29,1470.33,0.66161,0.80293,1.1633,0.79461,0.74181,0.79442,0.60929,0.79864,0.91237,1.29723,0.000380193,0.000380193,0.000380193
30,1522.66,0.65378,0.76449,1.15044,0.77576,0.69999,0.78296,0.60136,0.79661,0.94547,1.29604,0.000374985,0.000374985,0.000374985
31,1574.68,0.65053,0.76848,1.15119,0.82013,0.70981,0.80153,0.61445,0.82283,0.92193,1.30703,0.000369778,0.000369778,0.000369778
32,1626.1,0.6544,0.76952,1.15457,0.79564,0.72211,0.80146,0.62241,0.77775,0.89706,1.27702,0.000364571,0.000364571,0.000364571
33,1678.24,0.63482,0.74323,1.14109,0.82479,0.75773,0.82209,0.64457,0.75077,0.8226,1.25609,0.000359363,0.000359363,0.000359363
34,1729.81,0.65479,0.75307,1.15079,0.82497,0.725,0.81573,0.63295,0.77839,0.83177,1.27788,0.000354156,0.000354156,0.000354156
35,1781.66,0.61545,0.71354,1.11959,0.80349,0.73321,0.80229,0.63049,0.77228,0.83799,1.26203,0.000348948,0.000348948,0.000348948
36,1833.31,0.63831,0.7343,1.13644,0.83218,0.73612,0.81221,0.6395,0.76119,0.82186,1.2541,0.000343741,0.000343741,0.000343741
37,1885.91,0.62976,0.72367,1.13385,0.81704,0.73273,0.8136,0.6281,0.78918,0.83052,1.27281,0.000338534,0.000338534,0.000338534
38,1941.44,0.6188,0.70831,1.12752,0.82161,0.72114,0.81016,0.6318,0.78359,0.84395,1.28617,0.000333326,0.000333326,0.000333326
39,1996.63,0.61812,0.69992,1.12667,0.83833,0.7251,0.81793,0.63314,0.77055,0.83941,1.26218,0.000328119,0.000328119,0.000328119
40,2050.41,0.61684,0.70473,1.12281,0.83465,0.73048,0.82573,0.64946,0.74614,0.80307,1.24242,0.000322911,0.000322911,0.000322911
41,2102.6,0.61465,0.66899,1.122,0.80738,0.76014,0.81147,0.63358,0.76667,0.8305,1.25664,0.000317704,0.000317704,0.000317704
42,2154.47,0.60376,0.67707,1.11239,0.8389,0.7217,0.81885,0.64532,0.76431,0.82982,1.24796,0.000312497,0.000312497,0.000312497
43,2205.93,0.60822,0.68967,1.12299,0.78553,0.76639,0.81829,0.63847,0.75853,0.81559,1.2558,0.000307289,0.000307289,0.000307289
44,2257.9,0.60523,0.66694,1.1162,0.81029,0.76258,0.81792,0.64349,0.7681,0.83417,1.26982,0.000302082,0.000302082,0.000302082
45,2308.33,0.5964,0.66374,1.10139,0.85255,0.75735,0.83429,0.65749,0.7461,0.76912,1.24866,0.000296874,0.000296874,0.000296874
46,2359.51,0.59961,0.65588,1.11185,0.79079,0.76357,0.82578,0.64872,0.75918,0.80535,1.25698,0.000291667,0.000291667,0.000291667
47,2414.06,0.59499,0.6555,1.10943,0.81089,0.78327,0.84094,0.6668,0.7466,0.75488,1.25327,0.00028646,0.00028646,0.00028646
48,2466.27,0.59186,0.64308,1.10303,0.79496,0.76841,0.81974,0.65073,0.74821,0.81112,1.2523,0.000281252,0.000281252,0.000281252
49,2518,0.58961,0.64906,1.10999,0.84407,0.76084,0.83761,0.66241,0.73463,0.77,1.23103,0.000276045,0.000276045,0.000276045
50,2568.6,0.57874,0.63515,1.09635,0.81682,0.76237,0.82862,0.64817,0.75701,0.78566,1.26318,0.000270837,0.000270837,0.000270837
51,2618.66,0.57691,0.6249,1.10017,0.81933,0.73791,0.81635,0.64902,0.7557,0.80395,1.26212,0.00026563,0.00026563,0.00026563
52,2668.56,0.5878,0.62892,1.1004,0.85705,0.73927,0.84191,0.66962,0.7214,0.77828,1.22928,0.000260423,0.000260423,0.000260423
53,2718.37,0.58293,0.60756,1.09393,0.84078,0.74936,0.82845,0.65783,0.7291,0.78759,1.23474,0.000255215,0.000255215,0.000255215
54,2768.68,0.57277,0.60063,1.0983,0.84617,0.76486,0.83532,0.65777,0.73516,0.77578,1.23547,0.000250008,0.000250008,0.000250008
55,2818.45,0.57299,0.58628,1.09158,0.83932,0.76133,0.81922,0.65122,0.72875,0.78362,1.23023,0.0002448,0.0002448,0.0002448
56,2868.91,0.56467,0.59762,1.08899,0.84633,0.7606,0.83763,0.67651,0.72096,0.75202,1.22152,0.000239593,0.000239593,0.000239593
57,2919.75,0.55264,0.57848,1.08056,0.86147,0.73964,0.83669,0.67098,0.72902,0.77142,1.22836,0.000234386,0.000234386,0.000234386
58,2969.22,0.56337,0.5865,1.08643,0.83231,0.76022,0.8323,0.67142,0.71173,0.76159,1.21859,0.000229178,0.000229178,0.000229178
59,3018.27,0.55271,0.5817,1.07886,0.84252,0.77499,0.8358,0.67517,0.73221,0.77127,1.23503,0.000223971,0.000223971,0.000223971
60,3066.83,0.54932,0.56132,1.07487,0.82729,0.77259,0.83264,0.67232,0.71569,0.76661,1.21332,0.000218763,0.000218763,0.000218763
61,3115.93,0.54855,0.57092,1.07434,0.84887,0.75897,0.83731,0.67444,0.71713,0.74886,1.22872,0.000213556,0.000213556,0.000213556
