epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.8719,0.75685,3.1553,1.25481,0.79654,0.44137,0.61382,0.45474,0.81719,2.11625,1.31301,0.000173114,0.000173114,0.000173114
2,96.8818,0.80348,1.94111,1.27725,0.63403,0.57055,0.63025,0.43445,0.94395,1.6813,1.44954,0.000344998,0.000344998,0.000344998
3,143.447,0.83395,1.7503,1.29506,0.6106,0.50453,0.5727,0.37882,1.04381,1.72522,1.55487,0.00051341,0.00051341,0.00051341
4,190.163,0.8649,1.68094,1.31157,0.55151,0.45326,0.48225,0.30434,1.19342,1.99637,1.80882,0.000510378,0.000510378,0.000510378
5,236.659,0.84104,1.53798,1.29412,0.66159,0.57325,0.6233,0.41754,1.06434,1.64174,1.58012,0.00050517,0.00050517,0.00050517
6,283.219,0.83672,1.44561,1.29274,0.6321,0.58142,0.62101,0.43467,0.97357,1.56216,1.46641,0.000499963,0.000499963,0.000499963
7,329.259,0.8225,1.34646,1.27907,0.70047,0.59029,0.64794,0.44539,1.02214,1.40551,1.5463,0.000494756,0.000494756,0.000494756
8,375.992,0.8019,1.28661,1.26543,0.67336,0.5562,0.61278,0.42808,0.98209,1.59677,1.49715,0.000489548,0.000489548,0.000489548
9,422.747,0.80695,1.2338,1.2617,0.69441,0.64656,0.70137,0.50404,0.93124,1.31424,1.42495,0.000484341,0.000484341,0.000484341
10,468.872,0.77339,1.16385,1.23637,0.68852,0.6547,0.72039,0.51508,0.92271,1.30605,1.41659,0.000479133,0.000479133,0.000479133
11,515.239,0.77038,1.12687,1.24263,0.73156,0.62235,0.68786,0.49933,0.93092,1.32284,1.39654,0.000473926,0.000473926,0.000473926
12,561.344,0.75989,1.09644,1.22957,0.72589,0.63465,0.69614,0.51415,0.88986,1.31859,1.38837,0.000468719,0.000468719,0.000468719
13,607.935,0.74056,1.07131,1.22364,0.71965,0.65887,0.72264,0.52909,0.90783,1.22927,1.38859,0.000463511,0.000463511,0.000463511
14,654.147,0.73915,1.03585,1.21535,0.77715,0.6728,0.75277,0.5604,0.86081,1.09674,1.34736,0.000458304,0.000458304,0.000458304
15,701.17,0.74867,1.01586,1.21638,0.73426,0.68173,0.73903,0.54594,0.86425,1.10803,1.35544,0.000453096,0.000453096,0.000453096
16,747.522,0.72571,0.99074,1.20779,0.80603,0.6871,0.77759,0.58577,0.82342,1.068,1.32742,0.000447889,0.000447889,0.000447889
17,793.708,0.7111,0.9745,1.19856,0.76342,0.68036,0.74675,0.55165,0.87835,1.11043,1.40435,0.000442682,0.000442682,0.000442682
18,840.341,0.7186,0.95894,1.20531,0.76248,0.68057,0.75431,0.56939,0.84084,1.08616,1.34715,0.000437474,0.000437474,0.000437474
19,886.872,0.70815,0.92179,1.17878,0.78166,0.69904,0.78921,0.60574,0.80703,0.94804,1.29584,0.000432267,0.000432267,0.000432267
20,933.533,0.69058,0.91872,1.19208,0.79186,0.68088,0.78989,0.59689,0.81772,0.99122,1.30116,0.000427059,0.000427059,0.000427059
21,979.864,0.69281,0.9097,1.18058,0.79731,0.69406,0.77947,0.58936,0.81251,0.99359,1.29345,0.000421852,0.000421852,0.000421852
22,1026.15,0.69225,0.86467,1.17818,0.809,0.69148,0.79191,0.59779,0.81832,0.97257,1.30313,0.000416645,0.000416645,0.000416645
23,1072.15,0.6873,0.87068,1.17573,0.77917,0.70566,0.77818,0.58877,0.82189,0.95504,1.31251,0.000411437,0.000411437,0.000411437
24,1118.35,0.68257,0.85558,1.17495,0.78175,0.73832,0.80333,0.61983,0.79266,0.88038,1.28656,0.00040623,0.00040623,0.00040623
25,1164.07,0.67333,0.84606,1.16284,0.78283,0.70604,0.78322,0.5979,0.79698,0.94342,1.2797,0.000401022,0.000401022,0.000401022
26,1210.08,0.66257,0.8259,1.16211,0.77545,0.73334,0.80153,0.61601,0.80266,0.89791,1.28382,0.000395815,0.000395815,0.000395815
27,1255.76,0.6623,0.80626,1.16097,0.82862,0.7336,0.82073,0.63515,0.79669,0.86104,1.30426,0.000390608,0.000390608,0.000390608
28,1301.74,0.66324,0.81469,1.15573,0.81884,0.7039,0.79501,0.62367,0.77674,0.90253,1.28297,0.0003854,0.0003854,0.0003854
29,1347.61,0.66161,0.80293,1.1633,0.79714,0.73731,0.79391,0.61043,0.79805,0.90836,1.29731,0.000380193,0.000380193,0.000380193
30,1393.2,0.65378,0.76449,1.15044,0.76017,0.7057,0.78088,0.59867,0.79758,0.94532,1.29652,0.000374985,0.000374985,0.000374985
31,1439.31,0.65053,0.76848,1.15119,0.81791,0.7135,0.80122,0.61476,0.82066,0.91957,1.30713,0.000369778,0.000369778,0.000369778
32,1485.21,0.6544,0.76952,1.15457,0.79129,0.72323,0.80184,0.62224,0.7805,0.8978,1.28114,0.000364571,0.000364571,0.000364571
33,1531.3,0.63482,0.74323,1.14109,0.82002,0.75512,0.82239,0.64368,0.75279,0.82528,1.25792,0.000359363,0.000359363,0.000359363
34,1577.16,0.65479,0.75307,1.15079,0.82432,0.72256,0.81406,0.6313,0.77585,0.8378,1.27607,0.000354156,0.000354156,0.000354156
35,1623.04,0.61545,0.71354,1.11959,0.80405,0.73532,0.80253,0.62945,0.77397,0.83598,1.26649,0.000348948,0.000348948,0.000348948
36,1668.87,0.63831,0.7343,1.13644,0.84005,0.72652,0.81162,0.63898,0.76124,0.8227,1.25524,0.000343741,0.000343741,0.000343741
37,1715.82,0.62976,0.72367,1.13385,0.82584,0.72928,0.81382,0.62802,0.78839,0.83234,1.27368,0.000338534,0.000338534,0.000338534
